task,scene_id,candidate_id,x,y,theta,target_x,target_y,target_z,target_distance,seed,collision,contact_pairs,visibility,visibility_margin,visible_cameras,eligible,eligible_phase1,ik_margin,ik_pass,ik_reason,rollout_count,successes,success_rate,video_paths,evaluation_skipped,skip_reason,baseline_label
TurnOnStove,4,0,2.339991243084836,-2.3839968410275274,-3.673205103416066e-06,3.109990625981184,-2.5519996693943234,1.1528,0.7881142049221036,1,False,[],True,0.7716252842606649,"[""robot0_agentview_left"", ""robot0_agentview_right""]",True,True,0.2808387775630859,True,ok,3,0,0.0,[],False,,p_ref+p_near+p_IK+p_star
TurnOnStove,4,1,2.226107149498,-3.4358831458775083,0.5235987755982991,3.109990625981184,-2.5519996693943234,1.1528,1.25,1,False,[],True,0.599821700189624,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.16013430961552347,False,residual_0.3347,0,0,,[],False,,candidate
TurnOnStove,4,2,2.259990625981184,-2.5519996693943234,0.5235987755982987,3.109990625981184,-2.5519996693943234,1.1528,0.8500000000000001,1,False,[],True,0.567654858709103,"[""robot0_agentview_left"", ""robot0_agentview_right""]",True,True,0.21348472587859998,True,ok,3,0,0.0,[],False,,candidate
TurnOnStove,4,3,1.8059907604909406,-2.2025939585059255,0.2617993877991531,3.109990625981184,-2.5519996693943234,1.1528,1.3499999999999999,1,False,[],True,0.3930147235293464,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.12803604010603264,False,residual_0.4673,0,0,,[],False,,candidate
TurnOnStove,4,4,2.0274588712506336,-1.926999669394327,-0.261799387799146,3.109990625981184,-2.5519996693943234,1.1528,1.25,1,False,[],True,0.5998217463094269,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.1369398522529628,False,residual_0.3455,0,0,,[],False,,candidate
TurnOnStove,4,5,1.7599906259811842,-2.5519996693943234,0.2617993877991496,3.109990625981184,-2.5519996693943234,1.1528,1.3499999999999999,1,False,[],True,0.5699900627528631,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.1351771871652066,False,residual_0.4348,0,0,,[],False,,candidate
TurnOnStove,4,6,2.2968178276166524,-1.7388268710297958,-0.5235987755982965,3.109990625981184,-2.5519996693943234,1.1528,1.15,1,False,[],True,0.6323541965807385,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.11044070120523515,False,residual_0.2280,0,0,,[],False,,candidate
TurnOnStove,4,7,1.902583343119849,-2.8755234757724746,0.5235987755982991,3.109990625981184,-2.5519996693943234,1.1528,1.2499999999999998,1,False,[],True,0.599821746337498,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.13693985236162323,False,residual_0.3455,0,0,,[],False,,candidate
TurnOnStove,4,8,2.114061411629078,-1.9769996693943266,3.1086244689504383e-15,3.109990625981184,-2.5519996693943234,1.1528,1.15,1,False,[],True,0.39972831920932594,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.10417365877143445,False,residual_0.2363,0,0,,[],False,,candidate
TurnOnStove,4,9,2.0274588712506336,-1.926999669394327,-1.0471975511965943,3.109990625981184,-2.5519996693943234,1.1528,1.25,1,False,[],True,0.39622151978541076,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.1537155670907613,False,residual_0.3219,0,0,,[],False,,candidate
TurnOnStove,4,10,2.296817827616655,-3.3651724677588533,1.0471975511965983,3.109990625981184,-2.5519996693943234,1.1528,1.1499999999999997,1,False,[],True,0.6323541966585502,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.11044069958434952,False,residual_0.2280,0,0,,[],False,,candidate
TurnOnStove,4,11,2.200663952007522,-2.0269996693943266,3.1086244689504383e-15,3.109990625981184,-2.5519996693943234,1.1528,1.0499999999999994,1,False,[],True,0.44635299763526637,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.10385488423697216,False,residual_0.1199,0,0,,[],False,,candidate
TurnOnStove,4,12,2.2968178276166524,-1.7388268710297958,-1.3089969389957448,3.109990625981184,-2.5519996693943234,1.1528,1.15,1,False,[],True,0.39972816885983,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.09313595896671421,False,residual_0.2221,0,0,,[],False,,candidate
TurnOnStove,4,13,2.059990625981184,-2.5519996693943234,-0.2617993877991496,3.109990625981184,-2.5519996693943234,1.1528,1.0499999999999998,1,False,[],True,0.6679715179402789,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.16593315425395064,False,residual_0.1196,0,0,,[],False,,candidate
TurnOnStove,4,14,2.2261071494979974,-1.6681161929111412,-1.0471975511965952,3.109990625981184,-2.5519996693943234,1.1528,1.25,1,False,[],True,0.599821700266039,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.1601343097126864,False,residual_0.3347,0,0,,[],False,,candidate
TurnOnStove,4,15,1.9025833431198476,-2.228475863016177,-0.2617993877991456,3.109990625981184,-2.5519996693943234,1.1528,1.25,1,False,[],True,0.568925685105946,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.12354659347228429,False,residual_0.3195,0,0,,[],False,,candidate
TurnOnStove,4,16,2.200663952007522,-2.0269996693943266,-0.5235987755982956,3.109990625981184,-2.5519996693943234,1.1528,1.0499999999999994,1,False,[],True,0.6362517738307836,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.16124803572065424,False,residual_0.1246,0,0,,[],False,,candidate
