task,scene_id,candidate_id,x,y,theta,target_distance,rollout_id,seed,success,failure_type,visibility,ik_margin,collision,video_path,error
TurnOnSinkFaucet,7,0,3.599998164137487,-1.1997970614325455,-3.673205103416066e-06,0.7275817823447749,0,107000,True,success,True,0.28731532787435304,False,,
TurnOnSinkFaucet,7,0,3.599998164137487,-1.1997970614325455,-3.673205103416066e-06,0.7275817823447749,1,107001,True,success,True,0.28731532787435304,False,,
TurnOnSinkFaucet,7,0,3.599998164137487,-1.1997970614325455,-3.673205103416066e-06,0.7275817823447749,2,107002,True,success,True,0.28731532787435304,False,,
TurnOnSinkFaucet,7,12,3.407868427131697,-1.5006778191898718,0.2617993877991496,0.9499999999999998,0,107120,False,policy_failure,True,0.1923695473374168,False,,
TurnOnSinkFaucet,7,12,3.407868427131697,-1.5006778191898718,0.2617993877991496,0.9499999999999998,1,107121,False,policy_failure,True,0.1923695473374168,False,,
TurnOnSinkFaucet,7,12,3.407868427131697,-1.5006778191898718,0.2617993877991496,0.9499999999999998,2,107122,False,policy_failure,True,0.1923695473374168,False,,
TurnOnSinkFaucet,7,15,3.3754979621063113,-1.254799726342477,-0.26179938779914913,0.9500000000000002,0,107150,False,policy_failure,True,0.19836125160546986,False,,
TurnOnSinkFaucet,7,15,3.3754979621063113,-1.254799726342477,-0.26179938779914913,0.9500000000000002,1,107151,False,policy_failure,True,0.19836125160546986,False,,
TurnOnSinkFaucet,7,15,3.3754979621063113,-1.254799726342477,-0.26179938779914913,0.9500000000000002,2,107152,False,policy_failure,True,0.19836125160546986,False,,
TurnOnSinkFaucet,7,22,3.4754979621063113,-1.2547997263424768,0.5235987755982987,0.8500000000000001,0,107220,False,policy_failure,True,0.20199218264337818,False,,
TurnOnSinkFaucet,7,22,3.4754979621063113,-1.2547997263424768,0.5235987755982987,0.8500000000000001,1,107221,False,policy_failure,True,0.20199218264337818,False,,
TurnOnSinkFaucet,7,22,3.4754979621063113,-1.2547997263424768,0.5235987755982987,0.8500000000000001,2,107222,False,policy_failure,True,0.20199218264337818,False,,
TurnOnSinkFaucet,7,25,3.4754979621063113,-1.2547997263424768,-0.2617993877991496,0.8500000000000001,0,107250,False,policy_failure,True,0.20998727491719538,False,,
TurnOnSinkFaucet,7,25,3.4754979621063113,-1.2547997263424768,-0.2617993877991496,0.8500000000000001,1,107251,False,policy_failure,True,0.20998727491719538,False,,
TurnOnSinkFaucet,7,25,3.4754979621063113,-1.2547997263424768,-0.2617993877991496,0.8500000000000001,2,107252,False,policy_failure,True,0.20998727491719538,False,,
