task,scene_id,candidate_id,x,y,theta,target_distance,rollout_id,seed,success,failure_type,visibility,ik_margin,collision,video_path,error
TurnOnStove,1,0,2.75,-0.775,1.5707963267948966,0.33442799550929253,0,101000,True,success,True,0.1328312898890813,True,,
TurnOnStove,1,0,2.75,-0.775,1.5707963267948966,0.33442799550929253,1,101001,True,success,True,0.1328312898890813,True,,
TurnOnStove,1,0,2.75,-0.775,1.5707963267948966,0.33442799550929253,2,101002,True,success,True,0.1328312898890813,True,,
TurnOnStove,1,1,3.796768251242276,-1.0017132352941163,2.3561944901923457,0.9499999999999997,0,101010,False,policy_failure,True,0.15579518587775787,False,,
TurnOnStove,1,1,3.796768251242276,-1.0017132352941163,2.3561944901923457,0.9499999999999997,1,101011,False,policy_failure,True,0.15579518587775787,False,,
TurnOnStove,1,1,3.796768251242276,-1.0017132352941163,2.3561944901923457,0.9499999999999997,2,101012,False,policy_failure,True,0.15579518587775787,False,,
TurnOnStove,1,7,3.142276496963698,-1.1545650223820119,2.0943951023931966,0.65,0,101070,False,policy_failure,True,0.30094432106381536,False,,
TurnOnStove,1,7,3.142276496963698,-1.1545650223820119,2.0943951023931966,0.65,1,101071,False,policy_failure,True,0.30094432106381536,False,,
TurnOnStove,1,7,3.142276496963698,-1.1545650223820119,2.0943951023931966,0.65,2,101072,False,policy_failure,True,0.30094432106381536,False,,
TurnOnStove,1,13,2.5990441176470593,-1.176232288132447,1.3089969389957474,0.7500000000000001,0,101130,False,policy_failure,True,0.2463326608005292,False,,
TurnOnStove,1,13,2.5990441176470593,-1.176232288132447,1.3089969389957474,0.7500000000000001,1,101131,False,policy_failure,True,0.2463326608005292,False,,
TurnOnStove,1,13,2.5990441176470593,-1.176232288132447,1.3089969389957474,0.7500000000000001,2,101132,False,policy_failure,True,0.2463326608005292,False,,
TurnOnStove,1,14,3.796768251242276,-1.0017132352941163,2.8797932657906458,0.9499999999999997,0,101140,False,policy_failure,True,0.1557950567018757,False,,
TurnOnStove,1,14,3.796768251242276,-1.0017132352941163,2.8797932657906458,0.9499999999999997,1,101141,False,policy_failure,True,0.1557950567018757,False,,
TurnOnStove,1,14,3.796768251242276,-1.0017132352941163,2.8797932657906458,0.9499999999999997,2,101142,False,policy_failure,True,0.1557950567018757,False,,
TurnOnStove,1,15,3.34904411764706,-1.176232288132446,2.0943951023931966,0.75,0,101150,False,policy_failure,True,0.2605887318899363,False,,
TurnOnStove,1,15,3.34904411764706,-1.176232288132446,2.0943951023931966,0.75,1,101151,False,policy_failure,True,0.2605887318899363,False,,
TurnOnStove,1,15,3.34904411764706,-1.176232288132446,2.0943951023931966,0.75,2,101152,False,policy_failure,True,0.2605887318899363,False,,
TurnOnStove,1,16,2.779929833820169,-1.251157605010919,1.5707963267948974,0.75,0,101160,False,policy_failure,True,0.24633186963049974,False,,
TurnOnStove,1,16,2.779929833820169,-1.251157605010919,1.5707963267948974,0.75,1,101161,False,policy_failure,True,0.24633186963049974,False,,
TurnOnStove,1,16,2.779929833820169,-1.251157605010919,1.5707963267948974,0.75,2,101162,False,policy_failure,True,0.24633186963049974,False,,
TurnOnStove,1,17,2.302292675519839,-1.198464677421338,0.26179938779915,0.95,0,101170,False,policy_failure,True,0.1557950443825216,False,,
TurnOnStove,1,17,2.302292675519839,-1.198464677421338,0.26179938779915,0.95,1,101171,False,policy_failure,True,0.1557950443825216,False,,
TurnOnStove,1,17,2.302292675519839,-1.198464677421338,0.26179938779915,0.95,2,101172,False,policy_failure,True,0.1557950443825216,False,,
TurnOnStove,1,19,3.433663525418315,-0.9863326430653729,2.0943951023931966,0.6499999999999999,0,101190,False,policy_failure,True,0.29746527816053436,False,,
TurnOnStove,1,19,3.433663525418315,-0.9863326430653729,2.0943951023931966,0.6499999999999999,1,101191,False,policy_failure,True,0.29746527816053436,False,,
TurnOnStove,1,19,3.433663525418315,-0.9863326430653729,2.0943951023931966,0.6499999999999999,2,101192,False,policy_failure,True,0.29746527816053436,False,,
TurnOnStove,1,21,3.433663525418315,-0.9863326430653729,2.3561944901923457,0.6499999999999999,0,101210,False,policy_failure,True,0.3067010863234511,False,,
TurnOnStove,1,21,3.433663525418315,-0.9863326430653729,2.3561944901923457,0.6499999999999999,1,101211,False,policy_failure,True,0.3067010863234511,False,,
