task,scene_id,candidate_id,x,y,theta,target_x,target_y,target_z,target_distance,seed,collision,contact_pairs,visibility,visibility_margin,visible_cameras,eligible,eligible_phase1,ik_margin,ik_pass,ik_reason,rollout_count,successes,success_rate,video_paths,evaluation_skipped,skip_reason,baseline_label
TurnOnSinkFaucet,1,0,2.7499861019615515,-1.7999999993561486,4.712296326794897,2.701644058831725,-2.49360663438063,1.0086111111111113,0.6952892328261312,1,True,"[[""island_stack_1_island_group_1_left_door_handle_handle"", ""mobilebase0_pedestal_feet_col""], [""island_stack_1_island_group_1_right_door_handle_handle"", ""mobilebase0_pedestal_feet_col""]]",True,0.9464972991188854,"[""robot0_agentview_left"", ""robot0_agentview_right""]",True,False,0.30827247367129484,True,ok,3,1,0.3333333333333333,[],False,,p_ref+p_star
TurnOnSinkFaucet,1,1,2.48164787049458,-1.6725696820349227,-1.5707963267948934,2.701644058831725,-2.49360663438063,1.0086111111111113,0.8499999999999999,1,False,[],True,0.8285455133553137,"[""robot0_agentview_left"", ""robot0_agentview_right""]",True,True,0.2110419238757049,True,ok,3,0,0.0,[],False,,p_near+p_IK
TurnOnSinkFaucet,1,2,3.376644058831727,-3.662740929489621,2.6179938779914957,2.701644058831725,-2.49360663438063,1.0086111111111113,1.3499999999999999,1,True,"[[""mobilebase0_pedestal_feet_col"", ""stool_1_island_group_g3""], [""mobilebase0_pedestal_feet_col"", ""stool_1_island_group_g3""], [""mobilebase0_pedestal_feet_col"", ""stool_1_island_group_g4""], [""mobilebase0_pedestal_feet_col"", ""stool_1_island_group_g4""]]",True,0.4182633399271132,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.15840730028516262,False,residual_0.4194,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,3,3.0251678652098737,-1.286199351519294,-1.832595714594044,2.701644058831725,-2.49360663438063,1.0086111111111113,1.25,1,False,[],True,0.6971300040145378,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.1353083258602917,False,residual_0.3284,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,4,2.3522383479433233,-3.7976064998708727,1.0471975511965983,2.701644058831725,-2.49360663438063,1.0086111111111113,1.3500000000000003,1,False,[],True,0.6593339277756597,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.08846387433807172,False,residual_0.4278,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,5,2.1266440588317224,-1.4976774200285274,-0.7853981633974456,2.701644058831725,-2.49360663438063,1.0086111111111113,1.15,1,False,[],True,0.718916016876753,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.105715211513926,False,residual_0.2267,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,6,3.6562382134335625,-1.5390124797787887,-1.832595714594044,2.701644058831725,-2.49360663438063,1.0086111111111113,1.35,1,False,[],True,0.4187588770683981,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.15712436901994936,False,residual_0.4186,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,7,2.1266440588317224,-1.4976774200285274,-1.0471975511965947,2.701644058831725,-2.49360663438063,1.0086111111111113,1.15,1,False,[],True,0.7336444412410053,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.11325565235655549,False,residual_0.2219,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,8,2.076644058831722,-1.4110748796500836,-1.308996938995744,2.701644058831725,-2.49360663438063,1.0086111111111113,1.25,1,False,[],True,0.692568872004162,"[""robot0_agentview_left"", ""robot0_agentview_right""]",False,False,0.11325567390972198,False,residual_0.3229,0,0,,[],False,,candidate
TurnOnSinkFaucet,1,9,2.226644058831723,-1.6708825007854147,-0.523598775598296,2.701644058831725,-2.49360663438063,1.0086111111111113,0.95,1,False,[],True,0.5281227935048836,"[""robot0_agentview_left"", ""robot0_agentview_right""]",True,True,0.1889179626849133,True,ok,3,0,0.0,[],False,,candidate
